"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV86","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malvales","f__Malvaceae","g__Gossypium",NA
"PRJNA356769_ITS2_ASV862","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV870","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Myrtaceae","g__Psidium","s__guajava"
"PRJNA356769_ITS2_ASV875","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malvales","f__Malvaceae","g__Corchorus","s__olitorius"
"PRJNA356769_ITS2_ASV876","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum",NA
"PRJNA356769_ITS2_ASV878","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Bassia","s__scoparia"
"PRJNA356769_ITS2_ASV884","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Panicum",NA
"PRJNA356769_ITS2_ASV898","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita",NA
"PRJNA356769_ITS2_ASV901","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769_ITS2_ASV903","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Diplotaxis","s__tenuifolia"
"PRJNA356769_ITS2_ASV912","k__Viridiplantae","p__Anthophyta","c__Anthophyta_cls_Incertae_sedis","o__Anthophyta_ord_Incertae_sedis","f__Anthophyta_fam_Incertae_sedis","g__Anthophyta_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV918","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Cyclospermum","s__leptophyllum"
"PRJNA356769_ITS2_ASV92","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae",NA,NA
